"","NULL.","NULL.GP","NULL.GS","NULL.MP","NULL.G","NULL.S","NULL.SOT","NULL.A","NULL.TKL","NULL.YC","NULL.RC","NULL.FC","NULL.FS","team.x","season.x","UID","players.val[nr.name, 2]","Market.value","team.y","season.y","players.val[nr.pos, 1]"
"1","Mikel Arteta","5","0","108","0","0","0","0","11","1","0","5","3","arsenal","2015","Mikel Arteta 2015","Mikel Arteta","2,50 Mill. €","arsenal-fc","2015","Defensive Midfield"
"2","Héctor Bellerín","8","8","720","0","1","0","1","16","0","0","2","3","arsenal","2015","Héctor Bellerín 2015","Héctor Bellerín","5,00 Mill. €","arsenal-fc","2015","Right-Back"
"3","Santi Cazorla","9","9","799","0","19","7","2","23","1","1","6","8","arsenal","2015","Santi Cazorla 2015","Santi Cazorla","26,00 Mill. €","arsenal-fc","2015","Central Midfield"
"4","Petr Cech","9","9","810","0","0","0","0","0","0","0","0","1","arsenal","2015","Petr Cech 2015","Petr Cech","12,00 Mill. €","arsenal-fc","2015","Keeper"
"5","Calum Chambers","2","1","135","0","0","0","0","3","1","0","1","1","arsenal","2015","Calum Chambers 2015","Calum Chambers","12,00 Mill. €","arsenal-fc","2015","Centre Back"
"6","Francis Coquelin","8","8","609","0","4","0","0","35","2","0","8","9","arsenal","2015","Francis Coquelin 2015","Francis Coquelin","7,00 Mill. €","arsenal-fc","2015","Defensive Midfield"
"7","Mathieu Debuchy","1","1","67","0","1","0","0","2","0","0","1","1","arsenal","2015","Mathieu Debuchy 2015","Mathieu Debuchy","13,00 Mill. €","arsenal-fc","2015","Right-Back"
"8","Mathieu Flamini","1","1","21","0","0","0","0","0","0","0","0","0","arsenal","2015","Mathieu Flamini 2015","Mathieu Flamini","4,00 Mill. €","arsenal-fc","2015","Defensive Midfield"
"9","Gabriel","5","5","405","0","1","0","0","6","2","1","2","0","arsenal","2015","Gabriel 2015",NA,NA,NA,NA,NA
"10","Kieran Gibbs","2","0","16","0","0","0","0","2","0","0","0","0","arsenal","2015","Kieran Gibbs 2015","Kieran Gibbs","13,00 Mill. €","arsenal-fc","2015","Left-Back"
"11","Olivier Giroud","9","3","354","4","24","12","0","6","0","0","6","3","arsenal","2015","Olivier Giroud 2015","Olivier Giroud","24,00 Mill. €","arsenal-fc","2015","Centre Forward"
"12","Laurent Koscielny","7","7","630","0","5","2","0","13","0","0","6","8","arsenal","2015","Laurent Koscielny 2015","Laurent Koscielny","20,00 Mill. €","arsenal-fc","2015","Centre Back"
"13","Per Mertesacker","5","5","450","0","1","1","0","8","1","0","2","1","arsenal","2015","Per Mertesacker 2015","Per Mertesacker","15,00 Mill. €","arsenal-fc","2015","Centre Back"
"14","Nacho Monreal","9","9","810","0","1","1","2","19","1","0","8","12","arsenal","2015","Nacho Monreal 2015","Nacho Monreal","12,00 Mill. €","arsenal-fc","2015","Left-Back"
"15","Alex Oxlade-Chamberlain","9","2","264","0","10","2","0","5","0","0","3","5","arsenal","2015","Alex Oxlade-Chamberlain 2015","Alex Oxlade-Chamberlain","20,00 Mill. €","arsenal-fc","2015","Right Wing"
"16","Mesut Ozil","8","8","668","1","11","4","6","12","1","0","8","6","arsenal","2015","Mesut Ozil 2015",NA,NA,NA,NA,NA
"17","Aaron Ramsey","9","9","797","1","27","8","0","24","0","0","13","21","arsenal","2015","Aaron Ramsey 2015","Aaron Ramsey","28,00 Mill. €","arsenal-fc","2015","Central Midfield"
"18","Alexis Sánchez","9","8","688","6","45","15","0","11","0","0","11","21","arsenal","2015","Alexis Sánchez 2015","Alexis Sánchez","55,00 Mill. €","arsenal-fc","2015","Left Wing"
"19","Theo Walcott","8","6","503","2","26","12","2","2","0","0","1","8","arsenal","2015","Theo Walcott 2015","Theo Walcott","25,00 Mill. €","arsenal-fc","2015","Right Wing"
"20","Joe Allen","3","0","21","0","0","0","0","0","0","0","1","1","liverpool","2015","Joe Allen 2015","Joe Allen","10,00 Mill. €","liverpool-fc","2015","Central Midfield"
"21","Christian Benteke","6","6","495","2","13","5","0","4","0","0","6","9","liverpool","2015","Christian Benteke 2015","Christian Benteke","35,00 Mill. €","liverpool-fc","2015","Centre Forward"
"22","Emre Can","9","7","650","0","4","1","0","30","2","0","5","7","liverpool","2015","Emre Can 2015","Emre Can","15,00 Mill. €","liverpool-fc","2015","Defensive Midfield"
"23","Nathaniel Clyne","9","9","810","0","5","0","0","25","2","0","7","10","liverpool","2015","Nathaniel Clyne 2015","Nathaniel Clyne","17,00 Mill. €","liverpool-fc","2015","Right-Back"
"24","Philippe Coutinho","8","8","668","1","39","11","2","16","0","1","5","10","liverpool","2015","Philippe Coutinho 2015",NA,NA,NA,NA,NA
"25","Roberto Firmino","6","3","239","0","5","2","0","16","0","0","6","3","liverpool","2015","Roberto Firmino 2015","Roberto Firmino","35,00 Mill. €","liverpool-fc","2015","Attacking Midfield"
"26","Joe Gomez","5","5","438","0","1","0","1","15","3","0","9","1","liverpool","2015","Joe Gomez 2015","Joe Gomez","2,50 Mill. €","liverpool-fc","2015","Centre Back"
"27","Jordan Henderson","2","2","142","0","1","0","1","10","0","0","2","2","liverpool","2015","Jordan Henderson 2015","Jordan Henderson","28,00 Mill. €","liverpool-fc","2015","Central Midfield"
"28","Jordon Ibe","6","2","215","0","4","1","0","5","0","0","4","2","liverpool","2015","Jordon Ibe 2015","Jordon Ibe","5,00 Mill. €","liverpool-fc","2015","Right Wing"
"29","Danny Ings","5","3","314","2","10","5","0","2","1","0","6","4","liverpool","2015","Danny Ings 2015","Danny Ings","12,00 Mill. €","liverpool-fc","2015","Centre Forward"
"30","Adam Lallana","5","3","275","0","5","1","0","17","0","0","3","4","liverpool","2015","Adam Lallana 2015","Adam Lallana","20,00 Mill. €","liverpool-fc","2015","Attacking Midfield"
"31","Dejan Lovren","5","5","450","0","4","2","0","14","1","0","5","6","liverpool","2015","Dejan Lovren 2015","Dejan Lovren","13,00 Mill. €","liverpool-fc","2015","Centre Back"
"32","Lucas Leiva","7","7","585","0","2","0","0","39","3","0","19","5","liverpool","2015","Lucas Leiva 2015","Lucas Leiva","12,00 Mill. €","liverpool-fc","2015","Defensive Midfield"
"33","Simon Mignolet","9","9","810","0","0","0","0","1","1","0","0","1","liverpool","2015","Simon Mignolet 2015","Simon Mignolet","12,00 Mill. €","liverpool-fc","2015","Keeper"
"34","James Milner","9","9","810","1","14","6","2","40","4","0","20","13","liverpool","2015","James Milner 2015","James Milner","14,00 Mill. €","liverpool-fc","2015","Central Midfield"
"35","Alberto Moreno","8","4","418","0","4","2","1","18","0","0","2","9","liverpool","2015","Alberto Moreno 2015","Alberto Moreno","15,00 Mill. €","liverpool-fc","2015","Left-Back"
"36","Divock Origi","2","1","106","0","2","1","0","2","0","0","1","0","liverpool","2015","Divock Origi 2015","Divock Origi","9,00 Mill. €","liverpool-fc","2015","Centre Forward"
"37","Jordan Rossiter","1","0","14","0","0","0","0","2","0","0","0","0","liverpool","2015","Jordan Rossiter 2015","Jordan Rossiter","750 Th. €","liverpool-fc","2015","Central Midfield"
"38","Mamadou Sakho","4","4","360","0","1","0","0","7","1","0","1","4","liverpool","2015","Mamadou Sakho 2015","Mamadou Sakho","18,00 Mill. €","liverpool-fc","2015","Centre Back"
"39","Martin Skrtel","9","9","810","0","6","2","0","21","2","0","7","2","liverpool","2015","Martin Skrtel 2015","Martin Skrtel","13,00 Mill. €","liverpool-fc","2015","Centre Back"
"40","Daniel Sturridge","3","3","242","2","10","5","0","0","0","0","1","2","liverpool","2015","Daniel Sturridge 2015","Daniel Sturridge","25,00 Mill. €","liverpool-fc","2015","Centre Forward"
"41","César Azpilicueta","9","9","788","1","3","1","0","22","1","0","10","5","chelsea","2015","César Azpilicueta 2015","César Azpilicueta","23,00 Mill. €","chelsea-fc","2015","Left-Back"
"42","Asmir Begovic","7","6","576","0","0","0","0","0","0","0","0","1","chelsea","2015","Asmir Begovic 2015","Asmir Begovic","12,00 Mill. €","chelsea-fc","2015","Keeper"
"43","Gary Cahill","7","6","574","0","4","1","0","16","1","0","6","6","chelsea","2015","Gary Cahill 2015","Gary Cahill","20,00 Mill. €","chelsea-fc","2015","Centre Back"
"44","Diego Costa","7","7","610","2","13","6","1","8","2","0","8","14","chelsea","2015","Diego Costa 2015","Diego Costa","50,00 Mill. €","chelsea-fc","2015","Centre Forward"
"45","Thibaut Courtois","3","3","232","0","0","0","0","1","0","1","1","0","chelsea","2015","Thibaut Courtois 2015","Thibaut Courtois","35,00 Mill. €","chelsea-fc","2015","Keeper"
"46","Juan Cuadrado","1","0","26","0","1","1","0","0","0","0","0","2","chelsea","2015","Juan Cuadrado 2015",NA,NA,NA,NA,NA
"47","Cesc Fàbregas","9","9","779","0","14","5","1","34","0","0","14","10","chelsea","2015","Cesc Fàbregas 2015","Cesc Fàbregas","50,00 Mill. €","chelsea-fc","2015","Central Midfield"
"48","Radamel Falcao","7","1","192","1","9","4","0","6","1","0","7","5","chelsea","2015","Radamel Falcao 2015",NA,NA,NA,NA,NA
"49","Eden Hazard","9","8","727","0","12","5","2","6","1","0","6","22","chelsea","2015","Eden Hazard 2015","Eden Hazard","70,00 Mill. €","chelsea-fc","2015","Left Wing"
"50","Branislav Ivanovic","8","8","720","0","11","0","0","24","3","0","14","7","chelsea","2015","Branislav Ivanovic 2015","Branislav Ivanovic","17,00 Mill. €","chelsea-fc","2015","Right-Back"
"51","Kenedy","2","0","57","0","2","1","0","3","0","0","0","1","chelsea","2015","Kenedy 2015","Kenedy","8,00 Mill. €","chelsea-fc","2015","Secondary Striker"
"52","Ruben Loftus-Cheek","2","1","62","0","1","0","0","3","0","0","1","2","chelsea","2015","Ruben Loftus-Cheek 2015","Ruben Loftus-Cheek","2,00 Mill. €","chelsea-fc","2015","Central Midfield"
"53","Nemanja Matic","9","7","657","1","9","3","0","23","1","0","21","5","chelsea","2015","Nemanja Matic 2015","Nemanja Matic","40,00 Mill. €","chelsea-fc","2015","Defensive Midfield"
"54","John Obi Mikel","3","1","62","0","0","0","1","2","0","0","1","0","chelsea","2015","John Obi Mikel 2015","John Obi Mikel","10,00 Mill. €","chelsea-fc","2015","Defensive Midfield"
"55","Oscar","4","4","286","1","8","2","0","4","1","0","2","6","chelsea","2015","Oscar 2015","Oscar","38,00 Mill. €","chelsea-fc","2015","Attacking Midfield"
"56","Pedro","7","6","533","1","18","3","2","21","1","0","9","12","chelsea","2015","Pedro 2015","Pedro","25,00 Mill. €","chelsea-fc","2015","Right Wing"
"57","Baba Rahman","1","1","90","0","0","0","0","4","0","0","2","0","chelsea","2015","Baba Rahman 2015",NA,NA,NA,NA,NA
"58","Ramires","5","3","237","1","4","2","0","22","1","0","11","5","chelsea","2015","Ramires 2015","Ramires","25,00 Mill. €","chelsea-fc","2015","Central Midfield"
"59","Loïc Remy","4","1","87","0","4","0","0","0","0","0","0","1","chelsea","2015","Loïc Remy 2015",NA,NA,NA,NA,NA
"60","John Terry","6","6","459","0","2","0","0","8","1","1","2","3","chelsea","2015","John Terry 2015","John Terry","4,00 Mill. €","chelsea-fc","2015","Centre Back"
"61","Willian","8","6","483","2","12","4","1","8","1","0","6","12","chelsea","2015","Willian 2015","Willian","30,00 Mill. €","chelsea-fc","2015","Right Wing"
"62","Kurt Zouma","8","6","599","1","7","1","0","6","0","0","3","2","chelsea","2015","Kurt Zouma 2015","Kurt Zouma","12,00 Mill. €","chelsea-fc","2015","Centre Back"
"63","Daley Blind","8","8","704","1","2","1","0","11","0","0","4","5","manchester-united","2015","Daley Blind 2015","Daley Blind","17,00 Mill. €","manchester-united","2015","Centre Back"
"64","Michael Carrick","9","6","477","0","1","0","0","10","0","0","4","6","manchester-united","2015","Michael Carrick 2015","Michael Carrick","4,00 Mill. €","manchester-united","2015","Defensive Midfield"
"65","Matteo Darmian","9","9","698","0","0","0","0","31","4","0","12","11","manchester-united","2015","Matteo Darmian 2015","Matteo Darmian","15,00 Mill. €","manchester-united","2015","Right-Back"
"66","David De Gea","5","5","450","0","0","0","0","0","0","0","0","1","manchester-united","2015","David De Gea 2015",NA,NA,NA,NA,NA
"67","Marouane Fellaini","4","1","157","0","2","0","0","5","0","0","6","3","manchester-united","2015","Marouane Fellaini 2015","Marouane Fellaini","20,00 Mill. €","manchester-united","2015","Central Midfield"
"68","Chicharito Hernández","1","0","23","0","1","1","0","0","0","0","0","1","manchester-united","2015","Chicharito Hernández 2015",NA,NA,NA,NA,NA
"69","Ander Herrera","5","3","300","2","4","3","1","8","1","0","4","7","manchester-united","2015","Ander Herrera 2015","Ander Herrera","28,00 Mill. €","manchester-united","2015","Attacking Midfield"
"70","Adnan Januzaj","2","2","127","1","3","1","0","0","0","0","2","3","manchester-united","2015","Adnan Januzaj 2015",NA,NA,NA,NA,NA
"71","Phil Jones","2","1","106","0","0","0","0","4","0","0","1","0","manchester-united","2015","Phil Jones 2015","Phil Jones","15,00 Mill. €","manchester-united","2015","Centre Back"
"72","Jesse Lingard","1","0","45","0","1","0","0","0","0","0","1","0","manchester-united","2015","Jesse Lingard 2015","Jesse Lingard","1,00 Mill. €","manchester-united","2015","Left Wing"
"73","Anthony Martial","5","4","385","3","8","6","1","5","0","0","5","9","manchester-united","2015","Anthony Martial 2015","Anthony Martial","25,00 Mill. €","manchester-united","2015","Centre Forward"
"74","Juan Mata","9","9","712","3","20","7","3","7","1","0","3","4","manchester-united","2015","Juan Mata 2015","Juan Mata","34,00 Mill. €","manchester-united","2015","Right Wing"
"75","Paddy McNair","1","0","21","0","0","0","0","0","0","0","0","0","manchester-united","2015","Paddy McNair 2015",NA,NA,NA,NA,NA
"76","Memphis","8","8","587","1","25","8","0","4","1","0","7","11","manchester-united","2015","Memphis 2015",NA,NA,NA,NA,NA
"77","Marcos Rojo","2","2","159","0","0","0","1","8","1","0","4","1","manchester-united","2015","Marcos Rojo 2015","Marcos Rojo","18,00 Mill. €","manchester-united","2015","Centre Back"
"78","Sergio Romero","4","4","360","0","0","0","0","0","0","0","0","0","manchester-united","2015","Sergio Romero 2015","Sergio Romero","5,00 Mill. €","manchester-united","2015","Keeper"
"79","Wayne Rooney","8","8","720","2","18","8","0","6","1","0","7","2","manchester-united","2015","Wayne Rooney 2015","Wayne Rooney","40,00 Mill. €","manchester-united","2015","Secondary Striker"
"80","Morgan Schneiderlin","8","7","628","1","4","1","0","30","1","0","19","6","manchester-united","2015","Morgan Schneiderlin 2015","Morgan Schneiderlin","28,00 Mill. €","manchester-united","2015","Defensive Midfield"
"81","Bastian Schweinsteiger","9","5","515","0","1","1","0","27","2","0","10","9","manchester-united","2015","Bastian Schweinsteiger 2015","Bastian Schweinsteiger","18,00 Mill. €","manchester-united","2015","Central Midfield"
"82","Luke Shaw","5","5","450","0","1","1","1","10","1","0","8","3","manchester-united","2015","Luke Shaw 2015","Luke Shaw","21,00 Mill. €","manchester-united","2015","Left-Back"
"83","Chris Smalling","9","9","810","0","1","0","1","29","0","0","11","4","manchester-united","2015","Chris Smalling 2015","Chris Smalling","14,00 Mill. €","manchester-united","2015","Centre Back"
"84","Antonio Valencia","5","1","202","0","2","0","0","10","0","0","3","1","manchester-united","2015","Antonio Valencia 2015","Antonio Valencia","10,00 Mill. €","manchester-united","2015","Right-Back"
"85","James Wilson","1","0","8","0","0","0","0","0","0","0","0","0","manchester-united","2015","James Wilson 2015","James Wilson","2,00 Mill. €","manchester-united","2015","Centre Forward"
"86","Ashley Young","6","2","266","0","5","2","1","6","1","0","3","7","manchester-united","2015","Ashley Young 2015","Ashley Young","10,00 Mill. €","manchester-united","2015","Left Wing"
"87","Sergio Agüero","8","7","548","6","33","14","1","5","0","0","6","9","manchester-city","2015","Sergio Agüero 2015","Sergio Agüero","60,00 Mill. €","manchester-city","2015","Centre Forward"
"88","Wilfried Bony","7","3","306","2","15","7","2","5","0","0","2","5","manchester-city","2015","Wilfried Bony 2015","Wilfried Bony","25,00 Mill. €","manchester-city","2015","Centre Forward"
"89","Willy Caballero","1","1","90","0","0","0","0","0","0","0","0","0","manchester-city","2015","Willy Caballero 2015","Willy Caballero","4,50 Mill. €","manchester-city","2015","Keeper"
"90","Kevin De Bruyne","5","4","397","3","14","8","3","6","0","0","4","4","manchester-city","2015","Kevin De Bruyne 2015","Kevin De Bruyne","60,00 Mill. €","manchester-city","2015","Attacking Midfield"
"91","Fabian Delph","2","0","16","0","0","0","0","0","0","0","0","0","manchester-city","2015","Fabian Delph 2015","Fabian Delph","10,00 Mill. €","manchester-city","2015","Central Midfield"
"92","Martín Demichelis","5","1","157","0","2","0","0","7","1","0","3","1","manchester-city","2015","Martín Demichelis 2015","Martín Demichelis","2,00 Mill. €","manchester-city","2015","Centre Back"
"93","Fernandinho","9","9","789","2","7","3","1","36","4","0","15","7","manchester-city","2015","Fernandinho 2015","Fernandinho","28,00 Mill. €","manchester-city","2015","Central Midfield"
"94","Fernando","3","2","225","0","5","2","0","7","0","0","1","1","manchester-city","2015","Fernando 2015","Fernando","16,00 Mill. €","manchester-city","2015","Defensive Midfield"
"95","Joe Hart","8","8","720","0","0","0","0","0","0","0","0","0","manchester-city","2015","Joe Hart 2015","Joe Hart","16,00 Mill. €","manchester-city","2015","Keeper"
"96","Kelechi Iheanacho","5","0","35","1","2","2","0","4","0","0","4","1","manchester-city","2015","Kelechi Iheanacho 2015","Kelechi Iheanacho","750 Th. €","manchester-city","2015","Centre Forward"
"97","Aleksandar Kolarov","8","8","714","1","12","3","0","16","1","0","5","11","manchester-city","2015","Aleksandar Kolarov 2015","Aleksandar Kolarov","11,00 Mill. €","manchester-city","2015","Left-Back"
"98","Vincent Kompany","5","5","450","2","5","2","0","5","2","0","5","1","manchester-city","2015","Vincent Kompany 2015","Vincent Kompany","30,00 Mill. €","manchester-city","2015","Centre Back"
"99","Eliaquim Mangala","8","8","675","0","2","0","0","17","4","0","14","2","manchester-city","2015","Eliaquim Mangala 2015","Eliaquim Mangala","28,00 Mill. €","manchester-city","2015","Centre Back"
"100","Samir Nasri","7","1","238","1","8","4","0","4","2","0","1","2","manchester-city","2015","Samir Nasri 2015","Samir Nasri","21,00 Mill. €","manchester-city","2015","Left Wing"
"101","Jesús Navas","9","7","639","0","14","5","2","8","0","0","2","7","manchester-city","2015","Jesús Navas 2015","Jesús Navas","20,00 Mill. €","manchester-city","2015","Right Wing"
"102","Nicolás Otamendi","4","4","360","0","6","2","0","14","1","0","5","6","manchester-city","2015","Nicolás Otamendi 2015","Nicolás Otamendi","32,00 Mill. €","manchester-city","2015","Centre Back"
"103","Patrick Roberts","1","0","4","0","0","0","0","1","0","0","0","1","manchester-city","2015","Patrick Roberts 2015","Patrick Roberts","5,00 Mill. €","manchester-city","2015","Right Wing"
"104","Bacary Sagna","8","8","720","0","1","1","1","16","1","0","4","2","manchester-city","2015","Bacary Sagna 2015","Bacary Sagna","6,00 Mill. €","manchester-city","2015","Right-Back"
"105","David Silva","5","5","419","1","8","1","6","11","0","0","6","10","manchester-city","2015","David Silva 2015","David Silva","38,00 Mill. €","manchester-city","2015","Attacking Midfield"
"106","Raheem Sterling","8","8","597","4","18","10","1","8","0","0","5","15","manchester-city","2015","Raheem Sterling 2015","Raheem Sterling","50,00 Mill. €","manchester-city","2015","Left Wing"
"107","Yaya Touré","8","8","631","1","26","9","4","12","2","0","11","6","manchester-city","2015","Yaya Touré 2015","Yaya Touré","22,00 Mill. €","manchester-city","2015","Central Midfield"
"108","Pablo Zabaleta","2","2","180","0","1","1","0","15","1","0","4","1","manchester-city","2015","Pablo Zabaleta 2015","Pablo Zabaleta","18,00 Mill. €","manchester-city","2015","Right-Back"
"109","Ross Barkley","9","9","809","2","28","9","3","12","2","0","8","24","everton","2015","Ross Barkley 2015","Ross Barkley","16,00 Mill. €","everton-fc","2015","Attacking Midfield"
"110","Gareth Barry","9","9","810","0","3","1","0","18","2","0","12","8","everton","2015","Gareth Barry 2015","Gareth Barry","2,50 Mill. €","everton-fc","2015","Defensive Midfield"
"111","Muhamed Besic","1","1","9","0","0","0","0","0","0","0","0","0","everton","2015","Muhamed Besic 2015","Muhamed Besic","5,00 Mill. €","everton-fc","2015","Defensive Midfield"
"112","Tyias Browning","5","3","299","0","3","0","0","14","1","0","4","2","everton","2015","Tyias Browning 2015","Tyias Browning","750 Th. €","everton-fc","2015","Right-Back"
"113","Tom Cleverley","4","4","311","0","4","1","0","5","0","0","1","2","everton","2015","Tom Cleverley 2015","Tom Cleverley","9,00 Mill. €","everton-fc","2015","Central Midfield"
"114","Seamus Coleman","6","6","527","0","4","0","1","8","2","0","1","9","everton","2015","Seamus Coleman 2015","Seamus Coleman","19,00 Mill. €","everton-fc","2015","Right-Back"
"115","Gerard Deulofeu","7","2","203","0","0","0","2","1","0","0","0","0","everton","2015","Gerard Deulofeu 2015","Gerard Deulofeu","6,00 Mill. €","everton-fc","2015","Right Wing"
"116","Ramiro Funes Mori","3","2","193","0","2","0","0","3","0","0","0","2","everton","2015","Ramiro Funes Mori 2015","Ramiro Funes Mori","8,00 Mill. €","everton-fc","2015","Centre Back"
"117","Brendan Galloway","8","8","646","0","3","0","1","25","1","0","5","18","everton","2015","Brendan Galloway 2015","Brendan Galloway","1,50 Mill. €","everton-fc","2015","Centre Back"
"118","Darron Gibson","1","0","18","0","1","1","0","2","0","0","0","0","everton","2015","Darron Gibson 2015","Darron Gibson","3,00 Mill. €","everton-fc","2015","Central Midfield"
"119","Tim Howard","9","9","810","0","0","0","0","1","0","0","0","0","everton","2015","Tim Howard 2015","Tim Howard","2,00 Mill. €","everton-fc","2015","Keeper"
"120","Phil Jagielka","9","9","810","0","5","0","0","8","0","0","2","7","everton","2015","Phil Jagielka 2015","Phil Jagielka","4,50 Mill. €","everton-fc","2015","Centre Back"
"121","Arouna Koné","9","5","466","2","10","4","2","8","1","0","4","3","everton","2015","Arouna Koné 2015","Arouna Koné","1,50 Mill. €","everton-fc","2015","Centre Forward"
"122","Aaron Lennon","4","1","122","0","1","0","0","1","0","0","0","1","everton","2015","Aaron Lennon 2015","Aaron Lennon","6,00 Mill. €","everton-fc","2015","Right Wing"
"123","Romelu Lukaku","9","9","786","5","28","12","2","7","2","0","8","8","everton","2015","Romelu Lukaku 2015","Romelu Lukaku","28,00 Mill. €","everton-fc","2015","Centre Forward"
"124","James McCarthy","9","9","810","0","4","2","0","29","3","0","13","6","everton","2015","James McCarthy 2015","James McCarthy","17,00 Mill. €","everton-fc","2015","Central Midfield"
"125","Kevin Mirallas","3","1","123","0","2","1","0","2","0","1","2","3","everton","2015","Kevin Mirallas 2015","Kevin Mirallas","15,00 Mill. €","everton-fc","2015","Left Wing"
"126","Steven Naismith","9","4","425","3","8","4","0","13","1","0","17","18","everton","2015","Steven Naismith 2015","Steven Naismith","5,00 Mill. €","everton-fc","2015","Secondary Striker"
"127","Bryan Oviedo","2","1","103","0","0","0","0","2","0","0","5","1","everton","2015","Bryan Oviedo 2015","Bryan Oviedo","3,00 Mill. €","everton-fc","2015","Left-Back"
"128","John Stones","7","7","630","0","1","0","0","9","1","0","2","4","everton","2015","John Stones 2015","John Stones","25,00 Mill. €","everton-fc","2015","Centre Back"
"129","Toby Alderweireld","9","9","810","1","7","3","0","14","0","0","3","1","tottenham-hotspur","2015","Toby Alderweireld 2015","Toby Alderweireld","15,00 Mill. €","tottenham-hotspur","2015","Centre Back"
"130","Dele Alli","8","5","502","1","9","5","0","32","3","0","17","12","tottenham-hotspur","2015","Dele Alli 2015","Dele Alli","5,00 Mill. €","tottenham-hotspur","2015","Central Midfield"
"131","Nabil Bentaleb","4","2","166","0","2","1","0","1","1","0","3","0","tottenham-hotspur","2015","Nabil Bentaleb 2015","Nabil Bentaleb","10,00 Mill. €","tottenham-hotspur","2015","Defensive Midfield"
"132","Thomas Carroll","4","0","24","0","0","0","0","0","0","0","1","0","tottenham-hotspur","2015","Thomas Carroll 2015",NA,NA,NA,NA,NA
"133","Nacer Chadli","9","8","613","1","16","4","1","11","1","0","11","2","tottenham-hotspur","2015","Nacer Chadli 2015","Nacer Chadli","13,00 Mill. €","tottenham-hotspur","2015","Left Wing"
"134","Ben Davies","7","7","630","0","3","0","1","11","2","0","12","4","tottenham-hotspur","2015","Ben Davies 2015","Ben Davies","8,00 Mill. €","tottenham-hotspur","2015","Left-Back"
"135","Mousa Dembele","6","5","387","0","5","3","0","18","1","0","9","5","tottenham-hotspur","2015","Mousa Dembele 2015",NA,NA,NA,NA,NA
"136","Eric Dier","8","8","707","2","6","3","0","41","5","0","17","5","tottenham-hotspur","2015","Eric Dier 2015","Eric Dier","10,00 Mill. €","tottenham-hotspur","2015","Centre Back"
"137","Christian Eriksen","6","5","452","2","16","8","2","8","1","0","1","3","tottenham-hotspur","2015","Christian Eriksen 2015","Christian Eriksen","27,00 Mill. €","tottenham-hotspur","2015","Attacking Midfield"
"138","Harry Kane","9","9","775","1","32","11","0","13","1","0","10","13","tottenham-hotspur","2015","Harry Kane 2015","Harry Kane","25,00 Mill. €","tottenham-hotspur","2015","Centre Forward"
"139","Erik Lamela","8","5","454","1","11","3","2","26","4","0","19","8","tottenham-hotspur","2015","Erik Lamela 2015",NA,NA,NA,NA,NA
"140","Hugo Lloris","8","8","720","0","0","0","0","0","0","0","0","2","tottenham-hotspur","2015","Hugo Lloris 2015","Hugo Lloris","22,00 Mill. €","tottenham-hotspur","2015","Keeper"
"141","Ryan Mason","5","4","364","1","12","5","0","9","1","0","5","4","tottenham-hotspur","2015","Ryan Mason 2015","Ryan Mason","7,50 Mill. €","tottenham-hotspur","2015","Central Midfield"
"142","Clinton N'Jie","4","0","129","0","5","1","1","2","0","0","3","0","tottenham-hotspur","2015","Clinton N'Jie 2015","Clinton N'Jie","10,00 Mill. €","tottenham-hotspur","2015","Centre Forward"
"143","Alex Pritchard","1","0","5","0","0","0","0","1","0","0","1","0","tottenham-hotspur","2015","Alex Pritchard 2015","Alex Pritchard","3,00 Mill. €","tottenham-hotspur","2015","Attacking Midfield"
"144","Danny Rose","2","2","180","0","1","0","0","12","0","0","3","5","tottenham-hotspur","2015","Danny Rose 2015","Danny Rose","11,00 Mill. €","tottenham-hotspur","2015","Left-Back"
"145","Heung-Min Son","3","3","218","1","9","4","0","6","0","0","1","3","tottenham-hotspur","2015","Heung-Min Son 2015","Heung-Min Son","25,00 Mill. €","tottenham-hotspur","2015","Left Wing"
"146","Andros Townsend","3","0","64","0","5","2","0","4","0","0","1","0","tottenham-hotspur","2015","Andros Townsend 2015","Andros Townsend","8,00 Mill. €","tottenham-hotspur","2015","Right Wing"
"147","Jan Vertonghen","9","9","810","0","2","0","0","25","3","0","6","3","tottenham-hotspur","2015","Jan Vertonghen 2015","Jan Vertonghen","19,00 Mill. €","tottenham-hotspur","2015","Centre Back"
"148","Michel Vorm","1","1","90","0","0","0","0","0","0","0","0","0","tottenham-hotspur","2015","Michel Vorm 2015","Michel Vorm","5,00 Mill. €","tottenham-hotspur","2015","Keeper"
"149","Kyle Walker","9","9","810","0","4","3","0","25","2","0","10","15","tottenham-hotspur","2015","Kyle Walker 2015","Kyle Walker","13,00 Mill. €","tottenham-hotspur","2015","Right-Back"
"150","Adrián","6","6","539","0","0","0","0","1","0","1","1","1","west-ham-united","2015","Adrián 2015","Adrián","6,00 Mill. €","west-ham-united","2015","Keeper"
"151","Michail Antonio","1","0","30","0","0","0","0","2","0","0","1","1","west-ham-united","2015","Michail Antonio 2015","Michail Antonio","7,00 Mill. €","west-ham-united","2015","Left Wing"
"152","Andy Carroll","3","0","48","0","4","0","1","0","0","0","3","0","west-ham-united","2015","Andy Carroll 2015","Andy Carroll","10,00 Mill. €","west-ham-united","2015","Centre Forward"
"153","James Collins","3","1","119","0","0","0","0","6","0","0","1","1","west-ham-united","2015","James Collins 2015","James Collins","2,00 Mill. €","west-ham-united","2015","Centre Back"
